distance_meters,duration_seconds,effort_type,effort_value,intensity_zone,interval_rest_seconds,intervals,set_type,source_id,target_calories,tempo,work_seconds
,,RIR,3.0,,,,,6722854c-62b0-4db3-b032-015d209c0f17,,,
,,RIR,3.0,,,,,9326cecc-cf64-4f9e-9657-32a70dd4cb51,,,
,,RIR,3.0,,,,,8ea1940a-bfb5-4cbb-9c6e-d276a7283e27,,,
,,RIR,3.0,,,,,c719df6e-dbe3-4188-b0c2-8ce5b1546296,,,
,,RIR,3.0,,,,,eb5cbcfd-4a6a-44d4-bb32-d41411726b63,,,
,,RIR,3.0,,,,,39e21987-91f9-4e9f-9698-1f31d8df1b59,,,
,,RIR,3.0,,,,,a1315ff3-5b9a-4bda-b034-37fe4caa3693,,,
,,RIR,3.0,,,,,2e769621-ecda-4248-ad13-5eaff3788679,,,
,,RIR,3.0,,,,,967a5ca1-d6e4-4fb2-9e36-c997296225d6,,,
,,RIR,3.0,,,,,1207fdf7-1799-4315-8d8b-0d1ea533d1dd,,,
,,RIR,3.0,,,,,7edd0d4b-f760-45f3-924d-afa6b7be3a5b,,,
,,RIR,3.0,,,,,d84b556e-d05d-4734-8ccc-9f9b529faee0,,,
,,RIR,3.0,,,,,cf388006-3b76-4acb-838e-3fe20767dcf8,,,
,,RIR,3.0,,,,,22830cb0-5d30-4da5-a451-f6ad3266e783,,,
,,RIR,3.0,,,,,62dbd4fe-998b-4796-8c65-7d269f4814c4,,,
,,RIR,3.0,,,,,216f0c84-8090-4319-b5b5-f96e86e2cbaf,,,
,,RIR,3.0,,,,,5d79c4aa-d782-49fa-91b0-c0d01d3d453f,,,
,,RIR,3.0,,,,,d8d91a7f-56af-4c4e-99d4-593a0d917069,,,
,,RIR,3.0,,,,,7cf4c2be-fd21-487e-88c8-891d35943352,,,
,,RIR,3.0,,,,,36348a2c-7f9c-4b71-8efe-549b307b71df,,,
,,RIR,2.0,,,,,7fe0a99d-e06e-4e0a-a38e-489974a1e5c8,,,
,,RIR,2.0,,,,,25409a3f-7764-4062-99b5-3f198c67fd8e,,,
,,RIR,2.0,,,,,42854e98-c823-44bb-b0da-55ed8af3cf6e,,,
,,RIR,2.0,,,,,d49e8745-c133-4487-80ff-47f368d06076,,,
,,RIR,2.0,,,,,09a48b03-f498-4294-a640-7779460f3bb1,,,
,,RIR,2.0,,,,,9e7f13c9-3d8f-43cd-b857-eb0e55390367,,,
,,RIR,2.0,,,,,1d506329-5d07-4334-aa57-228829eb1dd4,,,
,,RIR,2.0,,,,,4636acd2-9a58-462e-a6f7-b0bad5bec900,,,
,,RIR,2.0,,,,,8ce80ae5-f50e-4bba-b1c7-e260ba96345c,,,
,,RIR,2.0,,,,,8bb7f946-0396-4095-a7a8-c0de1ebb3080,,,
,,RIR,2.0,,,,,76710c90-bedc-4782-b5ed-41f85346ef89,,,
,,RIR,2.0,,,,,e16ab7ad-e117-43bc-afc6-836311aadbe1,,,
,,RIR,2.0,,,,,34ae674c-fbba-42e4-9e5f-f806b3e350b6,,,
,,RIR,2.0,,,,,f2f6b455-b2b2-4e59-94cb-234558d4fa1a,,,
,,RIR,2.0,,,,,b0f015d7-1bf3-42cc-9018-f6ce5e65089b,,,
,,RIR,2.0,,,,,365492e0-0545-4886-b6d9-bcc9d831774d,,,
,,RIR,2.0,,,,,8d112015-3e1d-4f31-b396-c776ceace514,,,
,,RIR,2.0,,,,,852035a4-a30b-4963-a63c-22ad0dadc21d,,,
,,RIR,2.0,,,,,c311fc05-f76e-4c90-862f-491ebafc7857,,,
,,RIR,2.0,,,,,a12bc364-3a46-4c8e-b6a7-99d5f8ddead3,,,
,,RIR,2.0,,,,,909ccd09-46d8-4f23-a46c-05cb5c4fc977,,,
,,RIR,2.0,,,,,69873d5e-b49c-4cef-90a7-b330ebbbeb32,,,
,,RIR,2.0,,,,,ac3cf22b-972f-4720-981d-703949125081,,,
,,RIR,2.0,,,,,b3e3a8bd-b9bd-4ce4-a983-40f802a35859,,,
,,RIR,2.0,,,,,c6c6d9aa-441d-49e2-9e50-b6b5456e54d1,,,
,,RIR,2.0,,,,,a7e2ae88-9ae9-4d28-8f9b-fe0d865a22e0,,,
,,RIR,2.0,,,,,e4dc65b4-b135-4b22-9b0e-e81765bbb7c8,,,
,,RIR,2.0,,,,,6d923796-a4d1-4bfe-958e-1c5421168b33,,,
,,RIR,2.0,,,,,f2f74270-3ab8-44aa-869a-8d2734357ffb,,,
,,RIR,2.0,,,,,516030e5-c7ec-44a2-aafe-40aac6e8c7b4,,,
,,RIR,1.0,,,,,1a233e62-4339-4b70-8949-cdc4c29b0733,,,
,,RIR,1.0,,,,,e3300666-6ff8-4548-9cfb-5e8d828085d1,,,
,,RIR,1.0,,,,,80ecd7f5-43cf-4a56-ab88-2b175c6fa9fe,,,
,,RIR,1.0,,,,,cb4cb830-aede-4781-9eb8-45760bdf89b1,,,
,,RIR,1.0,,,,,e6c78438-2b3a-4879-885f-4ebc557005c3,,,
,,RIR,1.0,,,,,133e868d-bf54-44ef-b527-6839df6ca432,,,
,,RIR,1.0,,,,,0b4b6a2d-3347-4bb0-bc8c-46d8a32c86e2,,,
,,RIR,1.0,,,,,a1819a50-43ee-4af2-92b3-66cf265b2eea,,,
,,RIR,1.0,,,,,fbfa38dc-0c53-46fb-89c7-dbacaa31bdd1,,,
,,RIR,1.0,,,,,6a1608fd-f1ef-46b9-824f-403109bea5cf,,,
,,RIR,1.0,,,,,7e372b6e-5a22-4998-9cfd-28707310e40b,,,
,,RIR,1.0,,,,,b8a201b5-fe97-4e5b-9f01-5f4269cc5d0d,,,
,,RIR,1.0,,,,,e3076c98-9c32-4fd7-8ace-e39f4618cb7e,,,
,,RIR,1.0,,,,,9c7fe09c-ff7c-4bc2-b9ab-477f4e8c1daf,,,
,,RIR,1.0,,,,,275920ff-51a2-48e5-a0cd-d14b229c0e0f,,,
,,RIR,1.0,,,,,f13b3c49-9729-4553-8603-00f31ce1e67b,,,
